** = proposed,,,Beam Params,,,Detector Params,,,,,,,,,,,
Experiment Name,Class,Source(s),Beam Particle,Beam Energy (GeV),"POT/EOT
(planned or largest dataset)
or Runtime",Baseline (m),Detector Tech,Detector Material,Detector Mass (t),Detector Mass [FIDUCIAL] (t),"Detector Volume
(box: hxwxl)",Energy Threshold,Location,Status,Reference,Anomalies?,Notes
ArgoNeuT,Beam Target,NuMI,proton,120,1.35E+20,1.04E+03,LAr-TPC,LAr,0.244,0.24,0.9x0.4x0.48 m^3,300 keV,Fermilab,Complete,,,
NOvA-ND,Beam Target,NuMI,proton,120,1.30E+21,1000,Tracking Calorimeter,LS,300,,,~0.75 GeV,Fermilab,Running,https://arxiv.org/pdf/2409.04553,,14.6 mrad off-axis
NOvA-FD,Beam Target,NuMI,proton,120,1.30E+21,8.10E+05,Tracking Calorimeter,LS,1.40E+04,,,~0.75 GeV,Fermilab,Running,https://arxiv.org/pdf/2409.04553,,
T2K,Beam Target,J-PARC,proton,30,"12.34E+20 (nu)
6.28E+20 (nubar)",2.95E+05,Water Cherenkov,H2O,,,,,JPARC,Running,,,
T2K (ND280),Beam Target,J-PARC,proton,30,"12.34E+20 (nu)
6.28E+20 (nubar)",280,TPC/ECAL/etc,Mixed,,,6.3 m^3,,JPARC,,https://arxiv.org/pdf/1902.07598,,"off-axis, 2.5deg"
DUNE-ND,Beam Target,LBNF,proton,120,7.70E+21,575,LAr-TPC,LAr,50,,6x2x3 m^3,20 MeV,Fermilab,Future,,,Graphite target
DUNE-FD,Beam Target,LBNF,proton,120,7.70E+21,1.30E+06,LAr-TPC,LAr,40000,,,,"Lead, SD",Future,,,Graphite target
ICARUS,Beam Target,BNB/Numi,proton,8,6.60E+20,600,LAr-TPC,LAr,476,,3.6 × 3.9 × 19.6 m3,,Fermilab,Future,,,BNB / Beryllium target
SBND,Beam Target,BNB,proton,8,6.60E+20,110,LAr-TPC,LAr,112,112,4x4x5 m^3,20 MeV,Fermilab,Future,"https://indico.cern.ch/event/466934/contributions/2583853/attachments/1489221/2314081/EPS_SBND.pdf
https://arxiv.org/pdf/1903.04608.pdf",,BNB / Beryllium target
MINOS-ND,Beam Target,NuMI,proton,120,8.20E+20,1040,Scintillator,Steel/Plastic Scintillator,980,,,,Fermilab,,https://arxiv.org/pdf/1108.0015,,
MINOS-FD,Beam Target,NuMI,proton,120,8.20E+20,7.35E+05,Scintillator,Steel/Plastic Scintillator,5400,,,,Soudan,,,,
